Zonas,Sector A,Sector B,Sector C,Sector D,Sector E,Sector F,Sector G,Sector H,Sector I,Sector J,Sector K,Sector L
Zona 1,4.60,4.90,5.20,5.80,6.70,7.00,7.30,7.60,9.15,11.25,13.65,16.40
Zona 2,4.20,4.50,4.80,5.40,6.30,6.60,6.90,7.20,8.70,10.85,13.25,16.00
Zona 3,3.75,4.05,4.35,4.95,5.85,6.15,6.45,6.80,8.30,10.40,12.85,15.55
Zona 4,3.35,3.65,6.95,4.55,5.45,5.75,6.05,6.35,7.85,10.00,12.40,15.10
Zona 5,2.90,3.20,3.50,4.10,5.00,5.30,5.65,5.95,7.45,9.55,12.00,14.70
Zona 6,2.50,2.80,3.10,3.70,4.60,4.90,5.20,5.50,7.00,9.15,11.55,14.30
Zona 7,2.05,2.35,2.65,3.30,4.15,4.50,4.80,5.10,6.60,8.70,11.10,13.85
